round_epochs,val_loss,val_accuracy,loss,accuracy,activation,batch_size,dropout,epochs,first_neuron,flatten_layer,kernel_size,last_activation,losses,lr,optimizer,shapes
25,11.488853854318794,0.4463130533695221,6.966801808664552,0.58790904,<function relu at 0x1370a5d90>,128,0.0,25,128,100,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.6000000000000001,<class 'keras.optimizers.Adam'>,funnel
10,18.72480840794019,0.5407503247261047,55.61145616595903,0.49251246,<function relu at 0x1370a5d90>,128,0.25,10,64,100,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,<class 'keras.optimizers.Adam'>,brick
10,22.93390787280084,0.5601552128791809,57.584173546324024,0.52357185,<function relu at 0x1370a5d90>,128,0.25,10,64,100,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,<class 'keras.optimizers.Adam'>,funnel
10,10.550714838551055,0.5265200734138489,8.97565572848931,0.50027734,<function relu at 0x1370a5d90>,128,0.25,10,64,100,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.6000000000000001,<class 'keras.optimizers.Adam'>,brick
10,11.052991785639161,0.5407503247261047,21.641114036043817,0.50305045,<function relu at 0x1370a5d90>,128,0.25,10,64,100,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.6000000000000001,<class 'keras.optimizers.Adam'>,funnel
10,25.934097581199655,0.5135834217071533,55.8273683231669,0.5196894,<function relu at 0x1370a5d90>,128,0.25,10,128,100,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,<class 'keras.optimizers.Adam'>,brick
10,18.18199242718932,0.5705045461654663,39.22237205611159,0.48807544,<function relu at 0x1370a5d90>,128,0.25,10,128,100,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,<class 'keras.optimizers.Adam'>,funnel
10,8.940552918136813,0.54463130235672,12.489138331336573,0.51525235,<function relu at 0x1370a5d90>,128,0.25,10,128,100,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.6000000000000001,<class 'keras.optimizers.Adam'>,brick
10,6.19404564668722,0.5032341480255127,11.37419890511122,0.5440932,<function relu at 0x1370a5d90>,128,0.25,10,128,100,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.6000000000000001,<class 'keras.optimizers.Adam'>,funnel
25,14.53438634613353,0.5692108869552612,29.265930056241373,0.5219079,<function relu at 0x1370a5d90>,128,0.25,25,64,100,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,<class 'keras.optimizers.Adam'>,brick
25,23.490658530596775,0.5834411382675171,32.36538133340879,0.5102607,<function relu at 0x1370a5d90>,128,0.25,25,64,100,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,<class 'keras.optimizers.Adam'>,funnel
25,1.9699447410226947,0.5640362501144409,2.6177397936301565,0.5668331,<function relu at 0x1370a5d90>,128,0.25,25,64,100,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.6000000000000001,<class 'keras.optimizers.Adam'>,brick
25,3.916868034340586,0.43596377968788147,2.9728215222086303,0.5174709,<function relu at 0x1370a5d90>,128,0.25,25,64,100,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.6000000000000001,<class 'keras.optimizers.Adam'>,funnel
25,7.1208272054309525,0.508408784866333,10.230208929022748,0.5363283,<function relu at 0x1370a5d90>,128,0.25,25,128,100,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,<class 'keras.optimizers.Adam'>,brick
25,6.013549978643617,0.5485122799873352,13.911067517148874,0.5335552,<function relu at 0x1370a5d90>,128,0.25,25,128,100,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,<class 'keras.optimizers.Adam'>,funnel
25,2.2152265501515833,0.5666235685348511,2.7382281581626886,0.55795896,<function relu at 0x1370a5d90>,128,0.25,25,128,100,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.6000000000000001,<class 'keras.optimizers.Adam'>,brick
25,1.755662900587257,0.5756791830062866,1.4335479362104842,0.57958955,<function relu at 0x1370a5d90>,128,0.25,25,128,100,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.6000000000000001,<class 'keras.optimizers.Adam'>,funnel
