,winner,loser,method,how,round,event_name,date,venue,city,country,attendance,url
5243,Dan Ige,Kevin Aguilar,decision,"29–28, 29–28, 29–27",3.0,UFC Fight Night: Moicano vs. Korean Zombie,2019-06-22,Bon Secours Wellness Arena,greenville,usa,7682.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Moicano_vs._Korean_Zombie
5244,Ashley Yoder,Syuri Kondo,decision,"30–26, 30–25, 30–24",3.0,UFC Fight Night: Moicano vs. Korean Zombie,2019-06-22,Bon Secours Wellness Arena,greenville,usa,7682.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Moicano_vs._Korean_Zombie
5245,Luis Peña,Matt Wiman,tko,punches,3.0,UFC Fight Night: Moicano vs. Korean Zombie,2019-06-22,Bon Secours Wellness Arena,greenville,usa,7682.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Moicano_vs._Korean_Zombie
5246,Jairzinho Rozenstruik,Allen Crowder,ko,punches,1.0,UFC Fight Night: Moicano vs. Korean Zombie,2019-06-22,Bon Secours Wellness Arena,greenville,usa,7682.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Moicano_vs._Korean_Zombie
5247,Molly McCann,Ariane Lipski,decision,"30–27, 30–27, 30–27",3.0,UFC Fight Night: Moicano vs. Korean Zombie,2019-06-22,Bon Secours Wellness Arena,greenville,usa,7682.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Moicano_vs._Korean_Zombie
5248,Deron Winn,Eric Spicely,decision,"29–28, 29–28, 29–28",3.0,UFC Fight Night: Moicano vs. Korean Zombie,2019-06-22,Bon Secours Wellness Arena,greenville,usa,7682.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Moicano_vs._Korean_Zombie
5249,Francis Ngannou,Junior dos Santos,tko,punches,1.0,UFC on ESPN: Ngannou vs. dos Santos,2019-06-29,Target Center,minneapolis,usa,10123.0,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Ngannou_vs._dos_Santos
5250,Joseph Benavidez,Jussier Formiga,tko,head kick and punches,2.0,UFC on ESPN: Ngannou vs. dos Santos,2019-06-29,Target Center,minneapolis,usa,10123.0,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Ngannou_vs._dos_Santos
5251,Demian Maia,Anthony Rocco Martin,decision,"29–28, 29–28, 28–28",3.0,UFC on ESPN: Ngannou vs. dos Santos,2019-06-29,Target Center,minneapolis,usa,10123.0,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Ngannou_vs._dos_Santos
5252,Vinc Pichel,Roosevelt Roberts,decision,"29–28, 29–28, 29–28",3.0,UFC on ESPN: Ngannou vs. dos Santos,2019-06-29,Target Center,minneapolis,usa,10123.0,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Ngannou_vs._dos_Santos
5253,Drew Dober,Marco Polo Reyes,tko,punches,1.0,UFC on ESPN: Ngannou vs. dos Santos,2019-06-29,Target Center,minneapolis,usa,10123.0,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Ngannou_vs._dos_Santos
5254,Alonzo Menifield,Paul Craig,ko,punches,1.0,UFC on ESPN: Ngannou vs. dos Santos,2019-06-29,Target Center,minneapolis,usa,10123.0,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Ngannou_vs._dos_Santos
5255,Ricardo Ramos,Journey Newson,decision,"30–27, 30–27, 30–27",3.0,UFC on ESPN: Ngannou vs. dos Santos,2019-06-29,Target Center,minneapolis,usa,10123.0,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Ngannou_vs._dos_Santos
5256,Eryk Anders,Vinicius Moreira,ko,punches,1.0,UFC on ESPN: Ngannou vs. dos Santos,2019-06-29,Target Center,minneapolis,usa,10123.0,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Ngannou_vs._dos_Santos
5257,Jared Gordon,Dan Moret,decision,"30–27, 30–27, 29–28",3.0,UFC on ESPN: Ngannou vs. dos Santos,2019-06-29,Target Center,minneapolis,usa,10123.0,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Ngannou_vs._dos_Santos
5258,Dalcha Lungiambula,Dequan Townsend,tko,punches and elbows,3.0,UFC on ESPN: Ngannou vs. dos Santos,2019-06-29,Target Center,minneapolis,usa,10123.0,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Ngannou_vs._dos_Santos
5259,Amanda Ribas,Emily Whitmire,submission,rearnaked choke,2.0,UFC on ESPN: Ngannou vs. dos Santos,2019-06-29,Target Center,minneapolis,usa,10123.0,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Ngannou_vs._dos_Santos
5260,Maurice Greene,Júnior Albini,tko,punches,1.0,UFC on ESPN: Ngannou vs. dos Santos,2019-06-29,Target Center,minneapolis,usa,10123.0,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Ngannou_vs._dos_Santos
5261,Jon Jones (c),Thiago Santos,decision,"47–48, 48–47, 48–47",5.0,UFC 239: Jones vs. Santos,2019-07-06,T-Mobile Arena,las vegas,usa,18358.0,https://en.wikipedia.org/wiki/UFC_239
5262,Amanda Nunes (c),Holly Holm,tko,head kick and punches,1.0,UFC 239: Jones vs. Santos,2019-07-06,T-Mobile Arena,las vegas,usa,18358.0,https://en.wikipedia.org/wiki/UFC_239
5263,Jorge Masvidal,Ben Askren,ko,flying knee,1.0,UFC 239: Jones vs. Santos,2019-07-06,T-Mobile Arena,las vegas,usa,18358.0,https://en.wikipedia.org/wiki/UFC_239
5264,Jan Błachowicz,Luke Rockhold,ko,punches,2.0,UFC 239: Jones vs. Santos,2019-07-06,T-Mobile Arena,las vegas,usa,18358.0,https://en.wikipedia.org/wiki/UFC_239
5265,Michael Chiesa,Diego Sanchez,decision,"30–26, 30–26, 30–26",3.0,UFC 239: Jones vs. Santos,2019-07-06,T-Mobile Arena,las vegas,usa,18358.0,https://en.wikipedia.org/wiki/UFC_239
5266,Arnold Allen,Gilbert Melendez,decision,"30–27, 30–27, 30–27",3.0,UFC 239: Jones vs. Santos,2019-07-06,T-Mobile Arena,las vegas,usa,18358.0,https://en.wikipedia.org/wiki/UFC_239
5267,Marlon Vera,Nohelin Hernandez,submission,rearnaked choke,2.0,UFC 239: Jones vs. Santos,2019-07-06,T-Mobile Arena,las vegas,usa,18358.0,https://en.wikipedia.org/wiki/UFC_239
5268,Cláudia Gadelha,Randa Markos,decision,"30–27, 30–27, 30–27",3.0,UFC 239: Jones vs. Santos,2019-07-06,T-Mobile Arena,las vegas,usa,18358.0,https://en.wikipedia.org/wiki/UFC_239
5269,Yadong Song,Alejandro Pérez,ko,punch,1.0,UFC 239: Jones vs. Santos,2019-07-06,T-Mobile Arena,las vegas,usa,18358.0,https://en.wikipedia.org/wiki/UFC_239
5270,Edmen Shahbazyan,Jack Marshman,submission,rearnaked choke,1.0,UFC 239: Jones vs. Santos,2019-07-06,T-Mobile Arena,las vegas,usa,18358.0,https://en.wikipedia.org/wiki/UFC_239
5271,Chance Rencountre,Ismail Naurdiev,decision,"29–27, 29–28, 30–27",3.0,UFC 239: Jones vs. Santos,2019-07-06,T-Mobile Arena,las vegas,usa,18358.0,https://en.wikipedia.org/wiki/UFC_239
5272,Julia Avila,Pannie Kianzad,decision,"30–27, 30–26, 30–26",3.0,UFC 239: Jones vs. Santos,2019-07-06,T-Mobile Arena,las vegas,usa,18358.0,https://en.wikipedia.org/wiki/UFC_239
5273,Germaine de Randamie,Aspen Ladd,tko,punch,1.0,UFC Fight Night: de Randamie vs. Ladd,2019-07-13,Golden 1 Center,sacramento,usa,10306.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_de_Randamie_vs._Ladd
5274,Urijah Faber,Ricky Simon,tko,punches,1.0,UFC Fight Night: de Randamie vs. Ladd,2019-07-13,Golden 1 Center,sacramento,usa,10306.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_de_Randamie_vs._Ladd
5275,Josh Emmett,Mirsad Bektić,tko,punches,1.0,UFC Fight Night: de Randamie vs. Ladd,2019-07-13,Golden 1 Center,sacramento,usa,10306.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_de_Randamie_vs._Ladd
5276,Karl Roberson,Wellington Turman,decision,"28–29, 29–28, 29–28",3.0,UFC Fight Night: de Randamie vs. Ladd,2019-07-13,Golden 1 Center,sacramento,usa,10306.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_de_Randamie_vs._Ladd
5277,Marvin Vettori,Cezar Ferreira,decision,"30–27, 30–27, 30–27",3.0,UFC Fight Night: de Randamie vs. Ladd,2019-07-13,Golden 1 Center,sacramento,usa,10306.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_de_Randamie_vs._Ladd
5278,John Allan Arte,Mike Rodríguez,no contest,contest overturned,3.0,UFC Fight Night: de Randamie vs. Ladd,2019-07-13,Golden 1 Center,sacramento,usa,10306.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_de_Randamie_vs._Ladd
5279,Andre Fili,Sheymon Moraes,ko,punches,1.0,UFC Fight Night: de Randamie vs. Ladd,2019-07-13,Golden 1 Center,sacramento,usa,10306.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_de_Randamie_vs._Ladd
5280,Julianna Peña,Nicco Montaño,decision,"29–28, 29–28, 29–27",3.0,UFC Fight Night: de Randamie vs. Ladd,2019-07-13,Golden 1 Center,sacramento,usa,10306.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_de_Randamie_vs._Ladd
5281,Ryan Hall,Darren Elkins,decision,"29–28, 29–28, 30–27",3.0,UFC Fight Night: de Randamie vs. Ladd,2019-07-13,Golden 1 Center,sacramento,usa,10306.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_de_Randamie_vs._Ladd
5282,Jonathan Martinez,Pingyuan Liu,ko,knee,3.0,UFC Fight Night: de Randamie vs. Ladd,2019-07-13,Golden 1 Center,sacramento,usa,10306.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_de_Randamie_vs._Ladd
5283,Brianna Van Buren,Lívia Renata Souza,decision,"30–27, 30–27, 30–27",3.0,UFC Fight Night: de Randamie vs. Ladd,2019-07-13,Golden 1 Center,sacramento,usa,10306.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_de_Randamie_vs._Ladd
5284,Benito Lopez,Vince Morales,decision,"29–28, 29–28, 29–28",3.0,UFC Fight Night: de Randamie vs. Ladd,2019-07-13,Golden 1 Center,sacramento,usa,10306.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_de_Randamie_vs._Ladd
5285,Leon Edwards,Rafael dos Anjos,decision,"50–45, 49–46, 49–46",5.0,UFC on ESPN: dos Anjos vs. Edwards,2019-07-20,AT&T Center,san antonio,usa,9255.0,https://en.wikipedia.org/wiki/UFC_on_ESPN:_dos_Anjos_vs._Edwards
5286,Walt Harris,Aleksei Oleinik,ko,punch,1.0,UFC on ESPN: dos Anjos vs. Edwards,2019-07-20,AT&T Center,san antonio,usa,9255.0,https://en.wikipedia.org/wiki/UFC_on_ESPN:_dos_Anjos_vs._Edwards
5287,Greg Hardy,Juan Adams,tko,punches,1.0,UFC on ESPN: dos Anjos vs. Edwards,2019-07-20,AT&T Center,san antonio,usa,9255.0,https://en.wikipedia.org/wiki/UFC_on_ESPN:_dos_Anjos_vs._Edwards
5288,Dan Hooker,James Vick,ko,punches,1.0,UFC on ESPN: dos Anjos vs. Edwards,2019-07-20,AT&T Center,san antonio,usa,9255.0,https://en.wikipedia.org/wiki/UFC_on_ESPN:_dos_Anjos_vs._Edwards
5289,Alexander Hernandez,Francisco Trinaldo,decision,"30–27, 30–27, 29–28",3.0,UFC on ESPN: dos Anjos vs. Edwards,2019-07-20,AT&T Center,san antonio,usa,9255.0,https://en.wikipedia.org/wiki/UFC_on_ESPN:_dos_Anjos_vs._Edwards
5290,Andrei Arlovski,Ben Rothwell,decision,"30–27, 30–27, 30–27",3.0,UFC on ESPN: dos Anjos vs. Edwards,2019-07-20,AT&T Center,san antonio,usa,9255.0,https://en.wikipedia.org/wiki/UFC_on_ESPN:_dos_Anjos_vs._Edwards
5291,Alex Caceres,Steven Peterson,decision,"30–27, 29–28, 29–28",3.0,UFC on ESPN: dos Anjos vs. Edwards,2019-07-20,AT&T Center,san antonio,usa,9255.0,https://en.wikipedia.org/wiki/UFC_on_ESPN:_dos_Anjos_vs._Edwards
5292,Raquel Pennington,Irene Aldana,decision,"28–29, 29–28, 29–28",3.0,UFC on ESPN: dos Anjos vs. Edwards,2019-07-20,AT&T Center,san antonio,usa,9255.0,https://en.wikipedia.org/wiki/UFC_on_ESPN:_dos_Anjos_vs._Edwards
5293,Klidson Abreu,Sam Alvey,decision,"30–27, 30–27, 29–28",3.0,UFC on ESPN: dos Anjos vs. Edwards,2019-07-20,AT&T Center,san antonio,usa,9255.0,https://en.wikipedia.org/wiki/UFC_on_ESPN:_dos_Anjos_vs._Edwards
5294,Jennifer Maia,Roxanne Modafferi,decision,"30–27, 30–27, 30–27",3.0,UFC on ESPN: dos Anjos vs. Edwards,2019-07-20,AT&T Center,san antonio,usa,9255.0,https://en.wikipedia.org/wiki/UFC_on_ESPN:_dos_Anjos_vs._Edwards
5295,Ray Borg,Gabriel Silva,decision,"29–28, 29–28, 29–28",3.0,UFC on ESPN: dos Anjos vs. Edwards,2019-07-20,AT&T Center,san antonio,usa,9255.0,https://en.wikipedia.org/wiki/UFC_on_ESPN:_dos_Anjos_vs._Edwards
5296,Mario Bautista,Jin Soo Son,decision,"30–27, 30–27, 29–28",3.0,UFC on ESPN: dos Anjos vs. Edwards,2019-07-20,AT&T Center,san antonio,usa,9255.0,https://en.wikipedia.org/wiki/UFC_on_ESPN:_dos_Anjos_vs._Edwards
5297,Felipe Colares,Domingo Pilarte,decision,"29–28, 28–29, 29–28",3.0,UFC on ESPN: dos Anjos vs. Edwards,2019-07-20,AT&T Center,san antonio,usa,9255.0,https://en.wikipedia.org/wiki/UFC_on_ESPN:_dos_Anjos_vs._Edwards
5298,Max Holloway (c),Frankie Edgar,decision,"50–45, 49–46, 48–47",5.0,UFC 240: Holloway vs. Edgar,2019-07-27,Rogers Place,edmonton,canada,12144.0,https://en.wikipedia.org/wiki/UFC_240
5299,Cris Cyborg,Felicia Spencer,decision,"30–27, 30–27, 30–27",3.0,UFC 240: Holloway vs. Edgar,2019-07-27,Rogers Place,edmonton,canada,12144.0,https://en.wikipedia.org/wiki/UFC_240
5300,Geoff Neal,Niko Price,tko,punches,2.0,UFC 240: Holloway vs. Edgar,2019-07-27,Rogers Place,edmonton,canada,12144.0,https://en.wikipedia.org/wiki/UFC_240
5301,Arman Tsarukyan,Olivier Aubin-Mercier,decision,"29–28, 29–28, 29–28",3.0,UFC 240: Holloway vs. Edgar,2019-07-27,Rogers Place,edmonton,canada,12144.0,https://en.wikipedia.org/wiki/UFC_240
5302,Krzysztof Jotko,Marc-André Barriault,decision,"29–28, 28–29, 29–28",3.0,UFC 240: Holloway vs. Edgar,2019-07-27,Rogers Place,edmonton,canada,12144.0,https://en.wikipedia.org/wiki/UFC_240
5303,Viviane Araújo,Alexis Davis,decision,"29–28, 29–28, 29–28",3.0,UFC 240: Holloway vs. Edgar,2019-07-27,Rogers Place,edmonton,canada,12144.0,https://en.wikipedia.org/wiki/UFC_240
5304,Hakeem Dawodu,Yoshinori Horie,tko,head kick,3.0,UFC 240: Holloway vs. Edgar,2019-07-27,Rogers Place,edmonton,canada,12144.0,https://en.wikipedia.org/wiki/UFC_240
5305,Gavin Tucker,Seung Woo Choi,submission,rearnaked choke,3.0,UFC 240: Holloway vs. Edgar,2019-07-27,Rogers Place,edmonton,canada,12144.0,https://en.wikipedia.org/wiki/UFC_240
5306,Deiveson Figueiredo,Alexandre Pantoja,decision,"30–27, 30–27, 30–27",3.0,UFC 240: Holloway vs. Edgar,2019-07-27,Rogers Place,edmonton,canada,12144.0,https://en.wikipedia.org/wiki/UFC_240
5307,Gillian Robertson,Sarah Frota,tko,elbows,2.0,UFC 240: Holloway vs. Edgar,2019-07-27,Rogers Place,edmonton,canada,12144.0,https://en.wikipedia.org/wiki/UFC_240
5308,Erik Koch,Kyle Stewart,decision,"30–27, 29–28, 29–28",3.0,UFC 240: Holloway vs. Edgar,2019-07-27,Rogers Place,edmonton,canada,12144.0,https://en.wikipedia.org/wiki/UFC_240
5309,Colby Covington,Robbie Lawler,decision,"50–44, 50–45, 50–45",5.0,UFC on ESPN: Covington vs. Lawler,2019-08-03,Prudential Center,newark,usa,10427.0,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Covington_vs._Lawler
5310,Jim Miller,Clay Guida,technical submission,submission guillotine choke,1.0,UFC on ESPN: Covington vs. Lawler,2019-08-03,Prudential Center,newark,usa,10427.0,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Covington_vs._Lawler
5311,Nasrat Haqparast,Joaquim Silva,ko,punches,2.0,UFC on ESPN: Covington vs. Lawler,2019-08-03,Prudential Center,newark,usa,10427.0,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Covington_vs._Lawler
5312,Gerald Meerschaert,Trevin Giles,technical submission,submission guillotine choke,3.0,UFC on ESPN: Covington vs. Lawler,2019-08-03,Prudential Center,newark,usa,10427.0,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Covington_vs._Lawler
5313,Scott Holtzman,Dong Hyun Ma,tko,doctor stoppage,2.0,UFC on ESPN: Covington vs. Lawler,2019-08-03,Prudential Center,newark,usa,10427.0,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Covington_vs._Lawler
5314,Kennedy Nzechukwu,Darko Stošić,decision,"29–26, 29–26, 28–27",3.0,UFC on ESPN: Covington vs. Lawler,2019-08-03,Prudential Center,newark,usa,10427.0,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Covington_vs._Lawler
5315,Mickey Gall,Salim Touahri,decision,"29–28, 29–28, 29–28",3.0,UFC on ESPN: Covington vs. Lawler,2019-08-03,Prudential Center,newark,usa,10427.0,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Covington_vs._Lawler
5316,Antonina Shevchenko,Lucie Pudilová,technical submission,submission rearnaked choke,2.0,UFC on ESPN: Covington vs. Lawler,2019-08-03,Prudential Center,newark,usa,10427.0,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Covington_vs._Lawler
5317,Matt Schnell,Jordan Espinosa,submission,triangle choke,1.0,UFC on ESPN: Covington vs. Lawler,2019-08-03,Prudential Center,newark,usa,10427.0,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Covington_vs._Lawler
5318,Lauren Murphy,Mara Romero Borella,tko,knee and elbows,3.0,UFC on ESPN: Covington vs. Lawler,2019-08-03,Prudential Center,newark,usa,10427.0,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Covington_vs._Lawler
5319,Cláudio Silva,Cole Williams,submission,rearnaked choke,1.0,UFC on ESPN: Covington vs. Lawler,2019-08-03,Prudential Center,newark,usa,10427.0,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Covington_vs._Lawler
5320,Miranda Granger,Hannah Goldy,decision,"30–27, 30–27, 30–27",3.0,UFC on ESPN: Covington vs. Lawler,2019-08-03,Prudential Center,newark,usa,10427.0,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Covington_vs._Lawler
5321,Valentina Shevchenko (c),Liz Carmouche,decision,"50–45, 50–45, 50–45",5.0,UFC Fight Night: Shevchenko vs. Carmouche 2,2019-08-10,Antel Arena,montevideo,uruguay,9225.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Shevchenko_vs._Carmouche_2
5322,Vicente Luque,Mike Perry,decision,"28–29, 29–28, 29–28",3.0,UFC Fight Night: Shevchenko vs. Carmouche 2,2019-08-10,Antel Arena,montevideo,uruguay,9225.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Shevchenko_vs._Carmouche_2
5323,Luiz Eduardo Garagorri,Humberto Bandenay,decision,"30–27, 30–27, 30–27",3.0,UFC Fight Night: Shevchenko vs. Carmouche 2,2019-08-10,Antel Arena,montevideo,uruguay,9225.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Shevchenko_vs._Carmouche_2
5324,Volkan Oezdemir,Ilir Latifi,ko,punches,2.0,UFC Fight Night: Shevchenko vs. Carmouche 2,2019-08-10,Antel Arena,montevideo,uruguay,9225.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Shevchenko_vs._Carmouche_2
5325,Rodolfo Vieira,Oskar Piechota,submission,armtriangle choke,2.0,UFC Fight Night: Shevchenko vs. Carmouche 2,2019-08-10,Antel Arena,montevideo,uruguay,9225.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Shevchenko_vs._Carmouche_2
5326,Enrique Barzola,Bobby Moffett,decision,"28–29, 30–27, 29–28",3.0,UFC Fight Night: Shevchenko vs. Carmouche 2,2019-08-10,Antel Arena,montevideo,uruguay,9225.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Shevchenko_vs._Carmouche_2
5327,Gilbert Burns,Alexey Kunchenko,decision,"29–28, 29–28, 29–28",3.0,UFC Fight Night: Shevchenko vs. Carmouche 2,2019-08-10,Antel Arena,montevideo,uruguay,9225.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Shevchenko_vs._Carmouche_2
5328,Ciryl Gané,Raphael Pessoa Nunes,submission,armtriangle choke,1.0,UFC Fight Night: Shevchenko vs. Carmouche 2,2019-08-10,Antel Arena,montevideo,uruguay,9225.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Shevchenko_vs._Carmouche_2
5329,Marina Rodriguez,Tecia Torres,decision,"30–27, 30–27, 30–26",3.0,UFC Fight Night: Shevchenko vs. Carmouche 2,2019-08-10,Antel Arena,montevideo,uruguay,9225.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Shevchenko_vs._Carmouche_2
5330,Rogério Bontorin,Raulian Paiva,tko,doctor stoppage,1.0,UFC Fight Night: Shevchenko vs. Carmouche 2,2019-08-10,Antel Arena,montevideo,uruguay,9225.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Shevchenko_vs._Carmouche_2
5331,Chris Gutiérrez,Geraldo de Freitas,decision,"29–28, 27–30, 29–28",3.0,UFC Fight Night: Shevchenko vs. Carmouche 2,2019-08-10,Antel Arena,montevideo,uruguay,9225.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Shevchenko_vs._Carmouche_2
5332,Alex da Silva Coelho,Rodrigo Vargas,decision,"30–27, 30–27, 30–27",3.0,UFC Fight Night: Shevchenko vs. Carmouche 2,2019-08-10,Antel Arena,montevideo,uruguay,9225.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Shevchenko_vs._Carmouche_2
5333,Veronica Macedo,Polyana Viana,submission,armbar,1.0,UFC Fight Night: Shevchenko vs. Carmouche 2,2019-08-10,Antel Arena,montevideo,uruguay,9225.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Shevchenko_vs._Carmouche_2
5334,Stipe Miocic,Daniel Cormier (c),tko,punches,4.0,UFC 241: Cormier vs. Miocic 2,2019-08-17,Honda Center,anaheim,usa,17304.0,https://en.wikipedia.org/wiki/UFC_241
5335,Nate Diaz,Anthony Pettis,decision,"30–27, 30–27, 29–28",3.0,UFC 241: Cormier vs. Miocic 2,2019-08-17,Honda Center,anaheim,usa,17304.0,https://en.wikipedia.org/wiki/UFC_241
5336,Paulo Costa,Yoel Romero,decision,"29–28, 29–28, 29–28",3.0,UFC 241: Cormier vs. Miocic 2,2019-08-17,Honda Center,anaheim,usa,17304.0,https://en.wikipedia.org/wiki/UFC_241
5337,Sodiq Yusuff,Gabriel Benítez,tko,punches,1.0,UFC 241: Cormier vs. Miocic 2,2019-08-17,Honda Center,anaheim,usa,17304.0,https://en.wikipedia.org/wiki/UFC_241
5338,Derek Brunson,Ian Heinisch,decision,"29–28, 29–28, 29–28",3.0,UFC 241: Cormier vs. Miocic 2,2019-08-17,Honda Center,anaheim,usa,17304.0,https://en.wikipedia.org/wiki/UFC_241
5339,Khama Worthy,Devonte Smith,tko,punches,1.0,UFC 241: Cormier vs. Miocic 2,2019-08-17,Honda Center,anaheim,usa,17304.0,https://en.wikipedia.org/wiki/UFC_241
5340,Cory Sandhagen,Raphael Assunção,decision,"30–27, 30–27, 29–28",3.0,UFC 241: Cormier vs. Miocic 2,2019-08-17,Honda Center,anaheim,usa,17304.0,https://en.wikipedia.org/wiki/UFC_241
5341,Drakkar Klose,Christos Giagos,decision,"29–28, 29–28, 29–28",3.0,UFC 241: Cormier vs. Miocic 2,2019-08-17,Honda Center,anaheim,usa,17304.0,https://en.wikipedia.org/wiki/UFC_241
5342,Casey Kenney,Manny Bermudez,decision,"29–28, 29–28, 29–28",3.0,UFC 241: Cormier vs. Miocic 2,2019-08-17,Honda Center,anaheim,usa,17304.0,https://en.wikipedia.org/wiki/UFC_241
5343,Hannah Cifers,Jodie Esquibel,decision,"30–28, 30–27, 30–27",3.0,UFC 241: Cormier vs. Miocic 2,2019-08-17,Honda Center,anaheim,usa,17304.0,https://en.wikipedia.org/wiki/UFC_241
5344,Kyung Ho Kang,Brandon Davis,decision,"28–29, 29–28, 29–28",3.0,UFC 241: Cormier vs. Miocic 2,2019-08-17,Honda Center,anaheim,usa,17304.0,https://en.wikipedia.org/wiki/UFC_241
5345,Sabina Mazo,Shana Dobson,decision,"30–24, 30–25, 30–25",3.0,UFC 241: Cormier vs. Miocic 2,2019-08-17,Honda Center,anaheim,usa,17304.0,https://en.wikipedia.org/wiki/UFC_241
5346,Zhang Weili,Jéssica Andrade (c),tko,knees and punches,1.0,UFC Fight Night: Andrade vs. Zhang,2019-08-31,Shenzhen Universiade Sports Centre,shenzhen,china,10302.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Andrade_vs._Zhang
5347,Li Jingliang,Elizeu Zaleski dos Santos,tko,punches,3.0,UFC Fight Night: Andrade vs. Zhang,2019-08-31,Shenzhen Universiade Sports Centre,shenzhen,china,10302.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Andrade_vs._Zhang
5348,Kai Kara-France,Mark De La Rosa,decision,"30–27, 30–27, 29–28",3.0,UFC Fight Night: Andrade vs. Zhang,2019-08-31,Shenzhen Universiade Sports Centre,shenzhen,china,10302.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Andrade_vs._Zhang
5349,Song Kenan,Derrick Krantz,decision,"29–28, 29–28, 29–28",3.0,UFC Fight Night: Andrade vs. Zhang,2019-08-31,Shenzhen Universiade Sports Centre,shenzhen,china,10302.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Andrade_vs._Zhang
5350,Mizuki Inoue,Wu Yanan,decision,"28–29, 29–28, 29–28",3.0,UFC Fight Night: Andrade vs. Zhang,2019-08-31,Shenzhen Universiade Sports Centre,shenzhen,china,10302.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Andrade_vs._Zhang
5351,Anthony Hernandez,Jun Yong Park,submission,anaconda choke,2.0,UFC Fight Night: Andrade vs. Zhang,2019-08-31,Shenzhen Universiade Sports Centre,shenzhen,china,10302.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Andrade_vs._Zhang
5352,Su Mudaerji,Andre Soukhamthath,decision,"30–26, 30–26, 30–25",3.0,UFC Fight Night: Andrade vs. Zhang,2019-08-31,Shenzhen Universiade Sports Centre,shenzhen,china,10302.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Andrade_vs._Zhang
5353,Da Un Jung,Khadis Ibragimov,submission,guillotine choke,3.0,UFC Fight Night: Andrade vs. Zhang,2019-08-31,Shenzhen Universiade Sports Centre,shenzhen,china,10302.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Andrade_vs._Zhang
