,round_epochs,val_loss,val_accuracy,loss,accuracy,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,last_activation,losses,lr,optimizer,shapes,precision,recall,fbeta_score,support
125,10,0.7332172421203262,0.5183908343315125,0.5633180607000047,0.6035503149032593,<function relu at 0x7fbc08d68620>,256,0.1,10,128,2,<function sigmoid at 0x7fbc08d68730>,<function binary_crossentropy at 0x7fbc08d980d0>,2.0,<class 'keras.optimizers.Adam'>,funnel,0.6008064516129032,0.5741811175337187,0.587192118226601,
138,25,0.700097401114716,0.5149425268173218,0.6962763942204989,0.5355029702186584,<function relu at 0x7fbc08d68620>,256,0.1,25,256,1,<function sigmoid at 0x7fbc08d68730>,<function binary_crossentropy at 0x7fbc08d980d0>,0.01,<class 'keras.optimizers.Adam'>,funnel,0.6025369978858351,0.5491329479768786,0.5745967741935484,
51,10,0.7000237838975314,0.5137931108474731,0.6960702278675177,0.506903350353241,<function relu at 0x7fbc08d68620>,128,0.01,10,128,2,<function sigmoid at 0x7fbc08d68730>,<function binary_crossentropy at 0x7fbc08d980d0>,0.01,<class 'keras.optimizers.Adam'>,funnel,0.6076233183856502,0.5221579961464354,0.5616580310880829,
72,10,0.7117467247206589,0.5103448033332825,0.7513781034734828,0.5073964595794678,<function relu at 0x7fbc08d68620>,128,0.1,10,128,1,<function sigmoid at 0x7fbc08d68730>,<function binary_crossentropy at 0x7fbc08d980d0>,0.01,<class 'keras.optimizers.Adam'>,funnel,0.6195372750642674,0.464354527938343,0.5308370044052864,
133,25,0.7909184960113175,0.5057471394538879,0.5202244798812641,0.7105522751808167,<function relu at 0x7fbc08d68620>,256,0.1,25,128,1,<function sigmoid at 0x7fbc08d68730>,<function binary_crossentropy at 0x7fbc08d980d0>,1.0,<class 'keras.optimizers.Adam'>,funnel,0.6098765432098765,0.47591522157996147,0.5346320346320346,
139,25,0.8180769206463605,0.5045977234840393,0.5467762173515335,0.6681459546089172,<function relu at 0x7fbc08d68620>,256,0.1,25,256,1,<function sigmoid at 0x7fbc08d68730>,<function binary_crossentropy at 0x7fbc08d980d0>,1.0,<class 'keras.optimizers.Adam'>,funnel,0.6437908496732027,0.37957610789980734,0.4775757575757576,
85,25,0.8313435520248852,0.5034482479095459,0.5489828858149828,0.6563116312026978,<function relu at 0x7fbc08d68620>,128,0.1,25,128,1,<function sigmoid at 0x7fbc08d68730>,<function binary_crossentropy at 0x7fbc08d980d0>,1.0,<class 'keras.optimizers.Adam'>,funnel,0.6570397111913358,0.35067437379576105,0.45728643216080395,
37,25,0.9047580980706489,0.5034482479095459,0.5249439219868866,0.6898422241210938,<function relu at 0x7fbc08d68620>,64,0.1,25,128,1,<function sigmoid at 0x7fbc08d68730>,<function binary_crossentropy at 0x7fbc08d980d0>,1.0,<class 'keras.optimizers.Adam'>,funnel,0.6260869565217392,0.4161849710982659,0.5,
111,25,0.713397137872104,0.5022988319396973,0.7038777008564514,0.5212031602859497,<function relu at 0x7fbc08d68620>,256,0.01,25,128,2,<function sigmoid at 0x7fbc08d68730>,<function binary_crossentropy at 0x7fbc08d980d0>,0.01,<class 'keras.optimizers.Adam'>,funnel,0.5995370370370371,0.49903660886319845,0.544689800210305,
36,25,0.7340162728024625,0.5022988319396973,0.7173303451528681,0.5241617560386658,<function relu at 0x7fbc08d68620>,64,0.1,25,128,1,<function sigmoid at 0x7fbc08d68730>,<function binary_crossentropy at 0x7fbc08d980d0>,0.01,<class 'keras.optimizers.Adam'>,funnel,0.6075,0.4682080924855491,0.528835690968444,
