round_epochs,val_loss,val_accuracy,loss,accuracy,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,last_activation,losses,lr,optimizer
1,147.61092271101583,0.5523932576179504,374.2713467327674,0.50027734,<function relu at 0x1370a5d90>,32,0.2,50,128,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.75,<class 'keras.optimizers.Adam'>
1,110.5242248352564,0.5006468296051025,348.1622720846387,0.5019412,<function relu at 0x1370a5d90>,32,0.2,50,128,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.75,<class 'keras.optimizers.RMSprop'>
1,89.6649217099761,0.5135834217071533,430.10664828909285,0.5091514,<function relu at 0x1370a5d90>,32,0.2,50,128,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.5,<class 'keras.optimizers.Adam'>
1,205.17845072875818,0.5472186207771301,446.2870172975596,0.50804216,<function relu at 0x1370a5d90>,32,0.2,50,128,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.5,<class 'keras.optimizers.RMSprop'>
1,150.01044960564815,0.5601552128791809,394.0041002558128,0.49861342,<function relu at 0x1370a5d90>,32,0.2,50,128,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.75,<class 'keras.optimizers.Adam'>
1,259.2139067458613,0.5588615536689758,399.48568339673136,0.49306712,<function relu at 0x1370a5d90>,32,0.2,50,128,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.75,<class 'keras.optimizers.RMSprop'>
1,127.00112117555132,0.5575678944587708,403.1271532072468,0.52412647,<function relu at 0x1370a5d90>,32,0.2,50,256,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.5,<class 'keras.optimizers.Adam'>
1,86.24747805083399,0.5523932576179504,286.5866961910271,0.53133667,<function relu at 0x1370a5d90>,32,0.2,50,256,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.5,<class 'keras.optimizers.RMSprop'>
1,72.52404985514218,0.4954721927642822,404.7778468584261,0.50637823,<function relu at 0x1370a5d90>,32,0.2,50,256,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.75,<class 'keras.optimizers.Adam'>
1,113.60129646804631,0.45924967527389526,289.283192224656,0.5207987,<function relu at 0x1370a5d90>,32,0.2,50,256,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.75,<class 'keras.optimizers.RMSprop'>
1,130.72826281864616,0.5627425909042358,381.83604731588844,0.5019412,<function relu at 0x1370a5d90>,32,0.2,50,256,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.5,<class 'keras.optimizers.Adam'>
1,194.1033192939314,0.5705045461654663,365.4285470684303,0.5252357,<function relu at 0x1370a5d90>,32,0.2,50,256,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.5,<class 'keras.optimizers.RMSprop'>
1,152.18423959354533,0.4527813792228699,454.067137207776,0.51913476,<function relu at 0x1370a5d90>,32,0.2,50,256,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.75,<class 'keras.optimizers.Adam'>
1,93.41061330304262,0.47736093401908875,376.30366550811584,0.515807,<function relu at 0x1370a5d90>,32,0.2,50,256,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.75,<class 'keras.optimizers.RMSprop'>
1,129.14438497881378,0.5109961032867432,411.15593927249074,0.52579033,<function relu at 0x1370a5d90>,32,0.2,50,512,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.5,<class 'keras.optimizers.Adam'>
1,86.52589112512507,0.545924961566925,323.11738885169683,0.5013866,<function relu at 0x1370a5d90>,32,0.2,50,512,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.5,<class 'keras.optimizers.RMSprop'>
1,174.56292242960666,0.4346701204776764,402.0135434828265,0.50748754,<function relu at 0x1370a5d90>,32,0.2,50,512,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.75,<class 'keras.optimizers.Adam'>
1,181.34291960998772,0.428201824426651,343.6266581894488,0.5302274,<function relu at 0x1370a5d90>,32,0.2,50,512,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.75,<class 'keras.optimizers.RMSprop'>
1,62.436941030879844,0.491591215133667,321.9875983197492,0.5135885,<function relu at 0x1370a5d90>,32,0.2,50,512,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.5,<class 'keras.optimizers.Adam'>
1,191.1027510668914,0.5717982053756714,337.46515388509926,0.51525235,<function relu at 0x1370a5d90>,32,0.2,50,512,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.5,<class 'keras.optimizers.RMSprop'>
1,91.73290633661782,0.5329883694648743,471.7729242190479,0.5130338,<function relu at 0x1370a5d90>,32,0.2,50,512,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.75,<class 'keras.optimizers.Adam'>
1,170.68497675294864,0.5666235685348511,378.98394428407624,0.5091514,<function relu at 0x1370a5d90>,32,0.2,50,512,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.75,<class 'keras.optimizers.RMSprop'>
1,139.32771403792606,0.508408784866333,456.9596656126508,0.50027734,<function relu at 0x1370a5d90>,32,0.30000000000000004,50,128,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.5,<class 'keras.optimizers.Adam'>
1,160.37510487703273,0.54463130235672,379.7860611139637,0.5207987,<function relu at 0x1370a5d90>,32,0.30000000000000004,50,128,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.5,<class 'keras.optimizers.RMSprop'>
1,153.93103295803687,0.5485122799873352,510.57003264551486,0.5085968,<function relu at 0x1370a5d90>,32,0.30000000000000004,50,128,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.75,<class 'keras.optimizers.Adam'>
1,568.9352284341395,0.428201824426651,454.090587173775,0.49916804,<function relu at 0x1370a5d90>,32,0.30000000000000004,50,128,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.75,<class 'keras.optimizers.RMSprop'>
1,146.712866641263,0.5640362501144409,517.9461749558706,0.515807,<function relu at 0x1370a5d90>,32,0.30000000000000004,50,128,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.5,<class 'keras.optimizers.Adam'>
1,194.73304892634977,0.565329909324646,411.08699507033634,0.5180255,<function relu at 0x1370a5d90>,32,0.30000000000000004,50,128,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.5,<class 'keras.optimizers.RMSprop'>
